title,price_text,price_birr,scraped_at,source,page
New Server 16GB HDD 512GB,"ETB 15,000",,2026-01-01T13:22:13.030132,Jiji Ethiopia,3
New Laptop HP Stream Notebook 16GB Intel Core I7 SSD 1T,"ETB 284,400",,2026-01-01T13:22:13.030132,Jiji Ethiopia,3
New Laptop HP Pavilion 15 8GB AMD Ryzen 5 SSD 512GB,"ETB 62,000",,2026-01-01T13:22:13.030132,Jiji Ethiopia,3
New Laptop Alienware M17x R2 24GB AMD Ryzen 9 SSD 1T,"ETB 122,000",,2026-01-01T13:22:13.031131,Jiji Ethiopia,3
Realme GT Neo 5 256 GB White,"ETB 55,000",,2026-01-01T13:22:13.031131,Jiji Ethiopia,3
New Samsung Galaxy S21+ 5G 128 GB,"ETB 33,999",,2026-01-01T13:22:13.031131,Jiji Ethiopia,3
Tecno Spark 5 Air 32 GB Black,"ETB 6,000",,2026-01-01T13:22:13.031131,Jiji Ethiopia,3
New Samsung Galaxy S25 Ultra 256 GB Black,"ETB 168,000",,2026-01-01T13:22:13.031131,Jiji Ethiopia,3
New Samsung Galaxy A16 128 GB Black,"ETB 22,500",,2026-01-01T13:22:13.032128,Jiji Ethiopia,3
New Xiaomi Redmi Note 9 Pro 128 GB Red,"ETB 16,500",,2026-01-01T13:22:13.032128,Jiji Ethiopia,3
Toyota Aygo 2020 Red,"ETB 1,200,000",,2026-01-01T13:22:13.032128,Jiji Ethiopia,3
Toyota RAV4 2010 Gold,"ETB 2,000,000",,2026-01-01T13:22:13.032128,Jiji Ethiopia,3
Hyundai Avante 2017 Gray,"ETB 3,000,000",,2026-01-01T13:22:13.032128,Jiji Ethiopia,3
Toyota Hilux Revo Double Cab Deisel 2.4 RWD 2017 Gray,"ETB 12,000,000",,2026-01-01T13:22:13.032128,Jiji Ethiopia,3
Toyota Corolla 2003 Blue,"ETB 1,650,000",,2026-01-01T13:22:13.033124,Jiji Ethiopia,3
New Laptop HP EliteBook 840 G5 16GB Intel Core I5 SSD 512GB,"ETB 53,500",,2026-01-01T13:22:13.033124,Jiji Ethiopia,3
New Server HP ProLiant ML 16GB Intel Xeon SSD 1T,"ETB 200,000",,2026-01-01T13:22:13.033124,Jiji Ethiopia,3
New Laptop HP EliteBook 840 G5 16GB Intel Core I5 SSD 512GB,"ETB 33,000",,2026-01-01T13:22:13.033124,Jiji Ethiopia,3
New Server 1GB SSD 128GB,"ETB 20,000",,2026-01-01T13:22:13.033124,Jiji Ethiopia,3
Samsung Galaxy S10 512 GB,"ETB 22,500",,2026-01-01T13:22:13.033124,Jiji Ethiopia,3
New Samsung Galaxy S21 Ultra 5G 256 GB Black,"ETB 54,000",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
Apple iPhone 11 64 GB Black,"ETB 21,000",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
New Xiaomi Redmi Note 9 Pro 128 GB Blue,"ETB 17,000",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
New Xiaomi Redmi Note 9 Pro 128 GB Blue,"ETB 17,500",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
